symbol,companyName,isin,gsmStage,gsmTime,survCode,survDesc,srno
PRAXIS,Praxis Home Retail Limited,INE546Y01022,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,42
PREMIER,Premier Limited,INE342A01018,LXII,31-Mar-2023 08:02:01,"IBC - Receipt & GSM 0 (62)",Insolvency and Bankruptcy Code (IBC) - Receipt of Disclosure or Recommenced scrip and GSM stage 0,43
QUINTEGRA,Quintegra Solutions Limited,INE033B01011,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,44
RADAAN,Radaan Mediaworks India Limited,INE874F01027,III,31-Mar-2023 08:02:01,"GSM - III (3)",Graded Surveillance Measure - Stage III,45
RAJVIR,Rajvir Industries Limited,INE011H01014,LXII,31-Mar-2023 08:02:01,"IBC - Receipt & GSM 0 (62)",Insolvency and Bankruptcy Code (IBC) - Receipt of Disclosure or Recommenced scrip and GSM stage 0,46
RMCL,Radha Madhav Corporation Limited,INE172H01014,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,47
S&SPOWER,S&S Power Switchgears Limited,INE902B01017,III,31-Mar-2023 08:02:01,"GSM - III (3)",Graded Surveillance Measure - Stage III,48
SABEVENTS,Sab Events & Governance Now Media Limited,INE860T01019,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,49
SABTN,Sri Adhikari Brothers Television Network Limited,INE416A01036,LXII,31-Mar-2023 08:02:01,"IBC - Receipt & GSM 0 (62)",Insolvency and Bankruptcy Code (IBC) - Receipt of Disclosure or Recommenced scrip and GSM stage 0,50
SADBHIN,Sadbhav Infrastructure Project Limited,INE764L01010,LVI,31-Mar-2023 08:02:01,"High promoter/Non Promoter Encumbrance & GSM 0 (56)",Company with high promoterﾠas well as non-promoter Encumbrance and GSM Stage 0,51
SETUINFRA,Setubandhan Infrastructure Limited,INE023M01027,LXII,31-Mar-2023 08:02:01,"IBC - Receipt & GSM 0 (62)",Insolvency and Bankruptcy Code (IBC) - Receipt of Disclosure or Recommenced scrip and GSM stage 0,52
SHYAMTEL,Shyam Telecom Limited,INE635A01023,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,53
SPENTEX,Spentex Industries Limited,INE376C01020,LXII,31-Mar-2023 08:02:01,"IBC - Receipt & GSM 0 (62)",Insolvency and Bankruptcy Code (IBC) - Receipt of Disclosure or Recommenced scrip and GSM stage 0,54
SPYL,Shekhawati Poly-Yarn Limited,INE268L01020,IV,31-Mar-2023 08:02:01,"GSM - IV (4)",Graded Surveillance Measure - Stage IV,55
STAMPEDE,Stampede Capital Limited,INE224E01028,IV,31-Mar-2023 08:02:01,"GSM - IV (4)",Graded Surveillance Measure - Stage IV,56
TCIFINANCE,TCI Finance Limited,INE911B01018,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,57
THOMASCOTT,Thomas Scott (India) Limited,INE480M01011,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,58
TIJARIA,Tijaria Polypipes Limited,INE440L01017,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,59
TNTELE,Tamilnadu Telecommunication Limited,INE141D01018,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,60
TVVISION,TV Vision Limited,INE871L01013,I,31-Mar-2023 08:02:01,"GSM - I (1)",Graded Surveillance Measure - Stage I,61
UMESLTD,Usha Martin Education & Solutions Limited,INE240C01028,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,62
UNIINFO,Uniinfo Telecom Services Limited,INE481Z01011,0,31-Mar-2023 08:02:01,"GSM - 0 (99)",Shortlisted under Graded Surveillance Measure,63
UNIVAFOODS,Univa Foods Limited,INE275F01019,IV,31-Mar-2023 08:02:01,"GSM - IV (4)",Graded Surveillance Measure - Stage IV,64
VICEROY,Viceroy Hotels Limited,INE048C01017,LVIII,31-Mar-2023 08:02:01,"IBC I & GSM 0 (58)",ASM IBC Stage I and GSM Stage 0,65
VISUINTL,Visu International Limited,INE965A01016,VI,31-Mar-2023 08:02:01,"GSM - VI (6)",Graded Surveillance Measure - Stage VI,66
